scenario run_name T total_time num_trails avg_trial_time success_actions experiment std_dev
cook_defocused run_0 3 1582.9309999999996 11 143.90281818181813 ['shake-movementmagnitude:5.0'] 1 65.79544638
cook_defocused run_1 3 2963.549000000001 20 148.17745000000005 ['shake-rate:10.5'] 2 65.00294507
cook_defocused run_2 3 2013.1450000000004 14 143.79607142857145 ['shake-rate:10.5'] 2 67.99704903
cook_defocused run_3 3 2825.3439999999982 18 156.96355555555544 ['shake-rate:20.0'] 2 60.60885018
cook_defocused run_4 3 1658.5100000000011 11 150.77363636363646 ['shake-orientation:top'] 3 55.67428004
cook_defocused run_5 3 1862.4129999999986 13 143.26253846153836 ['shake-orientation:top'] 4 54.33326712
cook_defocused run_6 3 3406.727000000002 20 170.3363500000001 ['push-orientation:top'] 4 76.04294074
cook_defocused run_7 3 1779.9540000000015 12 148.32950000000014 ['shake-rate:20.0'] 4 82.25771159
cook_defocused run_8 3 1513.7909999999956 10 151.37909999999957 ['shake-movementmagnitude:5.0'] 4 70.4953777
cook_defocused run_9 3 1650.8130000000006 11 150.07390909090915 ['shake-rate:20.0'] 5 57.29577446
cook_defocused run_10 3 1828.623999999997 13 140.6633846153844 ['shake-orientation:top'] 6 53.96076964
cook run_0 3 311.136 2 155.568 ['push-rate:150.0'] 1 110.482 
cook run_1 3 605.8769999999997 4 151.46924999999993 ['push-movementmagnitude:0.1'] 2 73.70458961 
cook run_2 3 654.4999999999998 5 130.89999999999995 ['push-rate:76.5'] 2 56.55820257 
cook run_3 3 143.05700000000002 1 143.05700000000002 ['push-movementmagnitude:0.1'] 3 0 
cook run_4 3 153.21400000000003 1 153.21400000000003 ['push-rate:76.5'] 4 0 
cook run_5 3 141.18099999999987 1 141.18099999999987 ['push-movementmagnitude:0.1'] 4 0 
cook run_6 3 142.3019999999999 1 142.3019999999999 ['push-rate:76.5'] 4 0 
cook run_7 3 752.0840000000007 5 150.41680000000014 ['push-movementmagnitude:0.1'] 5 66.43901496 
cook run_8 3 143.6329999999998 1 143.6329999999998 ['push-rate:76.5'] 5 0 
cook run_9 3 580.7000000000016 4 145.1750000000004 ['push-rate:76.5'] 5 69.81500939 
cook run_30 3 255.95499999999998 2 127.97749999999999 ['push-rate:150.0'] 6 30.8605
cook run_31 3 1105.998 8 138.24975 ['push-movementmagnitude:0.1'] 6 61.28446434
cook run_32 3 533.3389999999999 4 133.33474999999999 ['push-rate:76.5'] 6 24.93213102
cook run_33 3 1089.6049999999996 8 136.20062499999995 ['push-rate:76.5'] 6 50.95717908
cook run_34 3 141.07399999999961 1 141.07399999999961 ['push-movementmagnitude:0.1'] 6 0
cook run_35 3 141.64899999999943 1 141.64899999999943 ['push-movementmagnitude:0.1'] 6 0
cook run_36 3 598.7070000000003 4 149.67675000000008 ['push-movementmagnitude:0.1'] 6 14.66976408
cook run_37 3 378.34900000000016 3 126.11633333333339 ['push-movementmagnitude:0.1'] 6 20.95522564
cook run_38 3 560.1599999999999 4 140.03999999999996 ['push-rate:3.0'] 6 61.92946164
cook run_39 3 144.55299999999897 1 144.55299999999897 ['push-rate:3.0'] 6 0
cook run_10 5 379.7909999999999 3 126.59699999999997 ['push-movementmagnitude:0.225'] 1 51.42190197
cook run_11 5 1101.4669999999996 6 183.57783333333327 ['push-rate:39.75'] 1 90.54662853
cook run_12 5 466.5300000000002 3 155.51000000000008 ['push-movementmagnitude:0.1'] 1 12.84880547
cook run_13 5 800.5519999999997 4 200.13799999999992 ['push-movementmagnitude:0.1'] 1 73.95365645
cook run_14 5 313.10699999999906 2 156.55349999999953 ['push-movementmagnitude:0.1'] 1 8.5655
