scenario run_name T total_time num_trails avg_trial_time success_actions
cook run_0 3 311.136 2 155.568 ['push-rate:150.0']
cook run_1 3 605.8769999999997 4 151.46924999999993 ['push-movementmagnitude:0.1']
cook run_2 3 654.4999999999998 5 130.89999999999995 ['push-rate:76.5']
cook run_3 3 143.05700000000002 1 143.05700000000002 ['push-movementmagnitude:0.1']
cook run_4 3 153.21400000000003 1 153.21400000000003 ['push-rate:76.5']
cook run_5 3 141.18099999999987 1 141.18099999999987 ['push-movementmagnitude:0.1']
cook run_6 3 142.3019999999999 1 142.3019999999999 ['push-rate:76.5']
cook run_7 3 752.0840000000007 5 150.41680000000014 ['push-movementmagnitude:0.1']
cook run_8 3 143.6329999999998 1 143.6329999999998 ['push-rate:76.5']
cook run_9 3 580.7000000000016 4 145.1750000000004 ['push-rate:76.5']
cook run_10 5 379.7909999999999 3 126.59699999999997 ['push-movementmagnitude:0.225']
cook run_11 5 1101.4669999999996 6 183.57783333333327 ['push-rate:39.75']
cook run_12 5 466.5300000000002 3 155.51000000000008 ['push-movementmagnitude:0.1']
cook run_13 5 800.5519999999997 4 200.13799999999992 ['push-movementmagnitude:0.1']
cook run_14 5 313.10699999999906 2 156.55349999999953 ['push-movementmagnitude:0.1']
cook run_15 5 1025.583 6 170.93050000000002 ['push-movementmagnitude:0.1']
cook run_16 5 171.11199999999963 1 171.11199999999963 ['push-movementmagnitude:0.1']
cook run_17 5 910.4010000000017 5 182.08020000000033 ['push-rate:39.75']
cook run_18 5 806.049 4 201.51225 ['push-movementmagnitude:0.1']
cook run_19 5 184.5050000000001 1 184.5050000000001 ['push-movementmagnitude:0.1']
