scenario run_name total_time num_trails avg_trial_time success_actions
discover_strike run_0 59.972999999999985 1 59.972999999999985 ['push-movementmagnitude:0.6']
discover_strike run_1 60.21599999999998 1 60.21599999999998 ['push-orientation:top']
discover_strike run_2 60.12099999999998 1 60.12099999999998 ['push-orientation:right']
discover_strike run_3 119.97099999999989 3 39.9903333333333 ['push-rate:76.5']
discover_strike run_4 59.88499999999988 1 59.88499999999988 ['push-rate:76.5']
discover_strike run_5 59.97199999999975 1 59.97199999999975 ['push-movementmagnitude:0.6']
discover_strike run_6 59.980999999999995 1 59.980999999999995 ['push-movementmagnitude:0.6']
discover_strike run_7 59.93100000000004 1 59.93100000000004 ['push-movementmagnitude:0.6']
discover_strike run_8 59.86999999999989 1 59.86999999999989 ['push-movementmagnitude:0.6']
discover_strike run_9 59.9050000000002 1 59.9050000000002 ['push-movementmagnitude:0.6']
discover_strike run_10 59.93300000000022 1 59.93300000000022 ['push-movementmagnitude:0.6']
discover_strike run_11 60.21700000000055 1 60.21700000000055 ['push-orientation:right']
discover_strike run_12 59.93000000000029 1 59.93000000000029 ['push-movementmagnitude:0.6']
discover_strike run_13 59.869999999999436 1 59.869999999999436 ['push-rate:76.5']
discover_strike run_14 60.100000000000364 1 60.100000000000364 ['push-orientation:right']
discover_strike run_15 60.190000000000055 1 60.190000000000055 ['push-orientation:right']
discover_strike run_16 104.7829999999999 2 52.39149999999995 ['push-rate:150.0']
discover_strike run_17 59.917999999999665 1 59.917999999999665 ['push-rate:76.5']
discover_strike run_18 59.88899999999967 1 59.88899999999967 ['push-rate:3.0']
discover_strike run_19 59.902000000000044 1 59.902000000000044 ['push-movementmagnitude:0.6']
