scenario run_name total_time num_trails avg_trial_time success_actions
cook run_0 255.95499999999998 2 127.97749999999999 ['push-rate:150.0']
cook run_1 1105.998 8 138.24975 ['push-movementmagnitude:0.1']
cook run_2 533.3389999999999 4 133.33474999999999 ['push-rate:76.5']
cook run_3 1089.6049999999996 8 136.20062499999995 ['push-rate:76.5']
cook run_4 141.07399999999961 1 141.07399999999961 ['push-movementmagnitude:0.1']
cook run_5 141.64899999999943 1 141.64899999999943 ['push-movementmagnitude:0.1']
cook run_6 598.7070000000003 4 149.67675000000008 ['push-movementmagnitude:0.1']
cook run_7 378.34900000000016 3 126.11633333333339 ['push-movementmagnitude:0.1']
cook run_8 560.1599999999999 4 140.03999999999996 ['push-rate:3.0']
cook run_9 144.55299999999897 1 144.55299999999897 ['push-rate:3.0']
