scenario run_name total_time num_trails avg_trial_time success_actions
cook run_0 1446.7660000000003 7 206.68085714285718 ['push-rate:27.5']
cook run_1 523.7629999999995 4 130.94074999999987 ['push-rate:27.5']
cook run_2 460.97500000000036 3 153.65833333333345 ['push-rate:27.5']
cook run_3 203.26700000000028 1 203.26700000000028 ['push-rate:27.5']
cook run_4 1008.8780000000042 4 252.21950000000106 ['push-movementmagnitude:0.1']
cook run_5 471.7519999999977 3 157.2506666666659 ['push-movementmagnitude:0.1']
cook run_6 591.6149999999989 4 147.90374999999972 ['push-rate:27.5']
cook run_7 1241.0850000000046 6 206.84750000000076 ['push-rate:27.5']
cook run_8 1039.5689999999922 4 259.89224999999806 ['push-rate:27.5']
cook run_9 1004.3510000000024 4 251.0877500000006 ['push-rate:3.0']
