scenario run_name total_time num_trails avg_trial_time success_actions
cook run_0 656.601999999999 5 131.32039999999978 ['push-rate:39.75']
cook run_1 1149.9140000000007 7 164.27342857142867 ['push-rate:39.75']
cook run_2 173.0460000000021 1 173.0460000000021 ['push-rate:39.75']
cook run_3 548.6929999999993 4 137.17324999999983 ['push-rate:39.75']
cook run_4 171.0540000000001 1 171.0540000000001 ['push-movementmagnitude:0.1']
cook run_5 823.6680000000015 4 205.91700000000037 ['push-movementmagnitude:0.225']
cook run_6 814.186000000007 4 203.54650000000174 ['push-movementmagnitude:0.1']
cook run_7 539.5880000000034 4 134.89700000000084 ['push-rate:39.75']
cook run_8 170.79799999999886 1 170.79799999999886 ['push-movementmagnitude:0.1']
cook run_9 850.8240000000042 4 212.70600000000104 ['push-movementmagnitude:0.1']
